Timestamp,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Load","GPU Temp"
17/12/2020 18:53:26 PM,86.00°F,91.40°F,87.80°F,89.60°F,91.40°F,10%,104.00°F
17/12/2020 18:53:31 PM,87.80°F,93.20°F,91.40°F,91.40°F,91.40°F,21%,104.00°F
17/12/2020 18:53:36 PM,87.80°F,89.60°F,87.80°F,91.40°F,89.60°F,10%,104.00°F
17/12/2020 18:53:41 PM,87.80°F,93.20°F,91.40°F,89.60°F,93.20°F,19%,104.00°F
17/12/2020 18:53:46 PM,84.20°F,87.80°F,86.00°F,86.00°F,89.60°F,19%,104.00°F
17/12/2020 18:53:51 PM,87.80°F,89.60°F,86.00°F,84.20°F,89.60°F,13%,104.00°F
17/12/2020 18:53:56 PM,89.60°F,91.40°F,87.80°F,91.40°F,93.20°F,46%,104.00°F
17/12/2020 18:54:01 PM,86.00°F,89.60°F,89.60°F,87.80°F,89.60°F,16%,104.00°F
17/12/2020 18:54:06 PM,87.80°F,89.60°F,87.80°F,89.60°F,91.40°F,12%,104.00°F
17/12/2020 18:54:11 PM,95.00°F,95.00°F,95.00°F,96.80°F,96.80°F,27%,104.00°F
17/12/2020 18:54:16 PM,87.80°F,89.60°F,89.60°F,91.40°F,89.60°F,18%,104.00°F
17/12/2020 18:54:21 PM,87.80°F,87.80°F,86.00°F,87.80°F,89.60°F,17%,104.00°F
17/12/2020 18:54:26 PM,91.40°F,93.20°F,95.00°F,93.20°F,95.00°F,23%,104.00°F
17/12/2020 18:54:31 PM,87.80°F,91.40°F,89.60°F,91.40°F,93.20°F,8%,104.00°F
17/12/2020 18:54:36 PM,96.80°F,95.00°F,93.20°F,95.00°F,93.20°F,33%,104.00°F
17/12/2020 18:54:41 PM,86.00°F,91.40°F,93.20°F,91.40°F,93.20°F,20%,104.00°F
17/12/2020 18:54:46 PM,89.60°F,87.80°F,89.60°F,93.20°F,93.20°F,20%,104.00°F
17/12/2020 18:54:51 PM,86.00°F,87.80°F,84.20°F,91.40°F,91.40°F,11%,104.00°F
